email_text,subject,sender,label
"Hi all, please note that the office building maintenance is scheduled for this Saturday from 8 AM to 2 PM. Power may be intermittently affected.",Office Building Maintenance Notice,facilities@company.com,Safe
"Hi Sarah, could you please review the updated API documentation when you have a moment? The draft is on Google Docs.",Documentation Review Request,mike@company.com,Safe
"Thank you for renewing your annual subscription to Cloud Storage. Your receipt #88201 for $99.00 is attached for your records.",Subscription Renewal Receipt #88201,billing@cloudstorage.com,Safe
"Hi team, the release candidate v2.4.0 has passed all integration tests and is ready for staging deployment.",Release Candidate v2.4.0 Ready for Staging,dev-lead@company.com,Safe
"Your library books are due in 3 days. You can renew them online by signing into your library card account on the public portal.",Library Book Due Date Reminder,library@citylibrary.org,Safe
"Hi Mark, I've updated the project roadmap based on client feedback. Let's discuss during our 1-on-1 call tomorrow morning.",Updated Project Roadmap,pm@company.com,Safe
"Thank you for attending the Web Dev Webinar! The video recording and Q&A summary are now available on our official portal.",Webinar Recording & Summary Available,events@webdevconf.com,Safe
"Your request for PTO from Sept 1 to Sept 5 has been approved by your manager.",PTO Request Approved,hr-portal@company.com,Safe
"Hi team, we've deployed a patch to resolve the dashboard latency issue in region us-east-1. Performance metrics are back to normal.",System Status Update: Incident Resolved,ops@company.com,Safe
"Your ticket #58209 has been updated by customer support: 'We have resolved the billing discrepancy on your invoice.'",Customer Support Ticket #58209 Updated,support@zendesk.com,Safe
"Hi Team, please welcome our new software engineering intern, Alex Chen, who will be joining the data team this week!",Welcoming New Intern Alex Chen,hr@company.com,Safe
"Your Uber receipt for the ride on Aug 16: $24.50. Thank you for riding with Uber.",Your Ride with Uber on Aug 16,receipts@uber.com,Safe
"Hi team, the bi-weekly sprint retro is scheduled for 3 PM today. Please add your points to the Miro board.",Sprint Retro Meeting Reminder,scrummaster@company.com,Safe
"Your password reset request for Slack was processed. If you did not request this, please contact support immediately via official channels.",Slack Security Notice: Password Reset,no-reply@slack.com,Safe
"Hi David, thanks for your feedback on the user interface design. I've updated the Figma file accordingly.",Figma Design Update,designer@company.com,Safe
